1	17 24 120
2	280 31 7 1 40 2
3	40 14 1 16 80 10
4	21 6 30 8 160 168
5	40 20 4 6 1 80 3 2 400 24 120 10
6	29 6 1 120 3 40
7	5 200 40 1 24 11 120
8	6 30 40 1 2
9	5 20 19 2 760 3 200 24 10
10	5 120 360 9 24 200 3
11	1 40
12	4 1 160 2 18 40 72 8
13	440 11 30
14	29 1160 4 6 2
15	4 7 280 6 20 1 12 60 120 11 40
16	40 39 2
17	38 1 8 40
18	60 23 6 920 1 11 8
19	1 40
20	40 7 14 280 1 19 760
21	40 7 14 280 1 19 760
22	1 40
23	60 23 6 920 1 11 8
24	38 1 40 8
25	40 39 2
26	4 7 6 280 20 1 12 60 120 11 40
27	29 1160 4 6 2
28	440 11 30
29	4 1 160 18 2 72 40 8
30	1 40
31	5 200 360 9 24 3 120
32	5 20 3 2 19 760 200 24 10
33	30 1 40 6 2
34	5 200 40 1 24 11 120
35	29 6 1 40 120 3
36	24 20 4 6 1 80 3 2 400 40 120 10
37	21 6 30 168 8 160
38	40 14 1 16 80 10
39	280 31 7 40 1 2
40	17 24 120
42	-1
-1	np
43	-1
0	1 6 42
1	5 1 2
2	5 210
3	14 1 6 2
4	1 14 6
5	14 1 6 3 42
6	1 6 42
7	4 84 6 3
8	5 42 70 1 2
9	1 42 14
10	3 126
11	126 1 3 42
12	42 14 1 2
13	2 14 1 42
14	5 70 126 3
15	4 28 6 2
16	42 2
17	42 14 1 2
18	4 12 14 1
19	126 1 6 14
20	42 14 2
21	1 42 6
22	1 42 6
23	42 14 2
24	126 1 6 14
25	4 12 14 1
26	42 14 1 2
27	42 2
28	4 28 6 2
29	5 70 126 3
30	2 14 1 42
31	42 14 1 2
32	126 1 3 42
33	3 126
34	1 42 14
35	5 2 70 1 42
36	4 84 6 3
37	1 6 42
38	14 1 6 3 42
39	1 14 6
40	14 1 6 2
41	5 210
